Expected output for studentinfo0.txt:
Patty Marshall with grade 76.85
Donna Parr with grade 76.4
Marilyn Malone with grade 75.1
Kalyn Bradley with grade 66.6
Todd Laitila with grade 61.0
Esther Mulcahy with grade 60.7
Mary Dunn with grade 59.75
Ashley Brown with grade 56.95
Brittany Bowman with grade 54.45
William Gray with grade 47.55





Expected output for studentinfo1.txt:
Audrey Hatcher with grade 86.8
Christine Grinder with grade 85.45
Carmen Thompson with grade 83.85
Patricia Lowery with grade 82.65
Alan Carley with grade 79.15
Jose Jefferson with grade 77.75
Christopher Thompson with grade 77.05
Kelly Schaefer with grade 77.05
Nicole Benjamin with grade 76.75
Kenneth Mccarroll with grade 76.4
Eun Fissel with grade 75.55
William Gibson with grade 75.5
Russell Jensen with grade 74.8
Marilyn Watson with grade 74.25
David Mcgurr with grade 73.7
David House with grade 73.5
Graciela Mcpherson with grade 71.6
Garland Hall with grade 70.8
Roger Barnes with grade 69.85
Charity Moran with grade 69.65
Susanne Holmes with grade 69.55
Betty Carter with grade 69.5
Hector Floyd with grade 68.55
Leota Bell with grade 67.6
Joann Mcmullen with grade 67.4
Bernard Soto with grade 66.35
Jessica Bolton with grade 66.3
Lorraine Reid with grade 65.65
Willie Franklin with grade 63.9
Nelson Chappell with grade 63.85
Angela Mifflin with grade 62.4
Don Cousins with grade 61.05
Betsy Jurasek with grade 60.65
Ruth Ultseh with grade 60.6
Monica Scheel with grade 59.1
Mary Aliaga with grade 58.85
Kathy Wentz with grade 58.1
Stephen Brier with grade 57.6
Elva Kilgallon with grade 57.55
Charles Brown with grade 57.55
Florence Hodge with grade 57.35
Edward Pinkham with grade 57.0
Ellen Valdez with grade 55.95
Reynaldo Perkins with grade 54.95
Loyce Smith with grade 54.55
Justin Espitia with grade 54.5
Raymond Mills with grade 54.0
Leonard Avila with grade 53.75
Geraldine Lopez with grade 53.45
Marc Pree with grade 53.4
Thomas Sollars with grade 52.9
Nathan Blaski with grade 52.9
Virginia Goebel with grade 52.7
Edward Patterson with grade 52.1
Lauren Bell with grade 52.0
Richard Wanty with grade 50.85
Kathleen Lyons with grade 50.7
Kristie Peters with grade 50.55
William Jett with grade 49.75
Josephine Pack with grade 48.95
James Walker with grade 48.3
Leah Jones with grade 47.2
Diana Vaughn with grade 45.6
Louella Belland with grade 45.2
Vanessa Westerman with grade 44.5
Dorothy Inman with grade 43.45
Charles Miller with grade 43.2
Martha Cobbs with grade 42.75
Karen Hinton with grade 41.65
Rosa Miller with grade 41.25
Noma Witcher with grade 40.9
Jacalyn Martin with grade 40.75
Jack Beers with grade 40.6
Lela Pleasant with grade 40.1
Eva Leonetti with grade 39.95
Geraldine Robinson with grade 39.95
Saul Carson with grade 39.75
David Hill with grade 36.3
Timothy Johnson with grade 36.0
Brian Burris with grade 35.8
Robert Hernandez with grade 35.75
Rosalia Wills with grade 35.6
Raymond Tasker with grade 35.55
Kenneth Nelson with grade 35.45
Russell Romero with grade 35.4
June Frank with grade 35.15
John Carr with grade 35.0
Pedro Bathke with grade 34.0
Patrick Bullard with grade 32.1
Leona Songer with grade 31.3
James Reynoso with grade 31.1
Todd Wade with grade 29.75
Michele Corso with grade 29.75
James Betts with grade 28.7
Robin Hackley with grade 27.85
John Smith with grade 27.3
Titus Brennan with grade 26.2
Amy Hoagland with grade 25.9
Kathy Hecht with grade 25.75
Curtis Boykin with grade 25.4
Jeffrey Jacobs with grade 25.35
Virgil Cordeiro with grade 23.15
Olga Bingham with grade 22.5
Bobbie Phillips with grade 20.7
Jean Baker with grade 18.5
Larry Lindstedt with grade 18.3





Expected output for studentinfo2.txt:
Deborah Harrison with grade 91.5
Steve White with grade 91.0
